Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,,,,Game Date,Game Time,End Time,Home,Away,Ice Rink,
G28 - USMMA @ Sacred Heart,1/19/2025,5:30:00 PM,1/19/2025,7:00:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,28,1/19/2025,5:30:00 PM,7:00 PM,Sacred Heart,USMMA,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",G28 - USMMA @ Sacred Heart
G29 - USMMA @ WestConn,1/24/2025,10:00:00 PM,1/24/2025,11:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,29,1/24/2025,10:00:00 PM,11:30 PM,WestConn,USMMA,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",G29 - USMMA @ WestConn
G30 - Yeshiva @ STAC,1/25/2025,8:00:00 PM,1/25/2025,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,30,1/25/2025,8:00:00 PM,9:30 PM,STAC,Yeshiva,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G30 - Yeshiva @ STAC
G31 - NJIT @ USMMA,1/25/2025,10:15:00 PM,1/25/2025,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,31,1/25/2025,10:15:00 PM,11:45 PM,USMMA,NJIT,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",G31 - NJIT @ USMMA
G32 - Yeshiva @ NJIT,1/26/2025,8:30:00 PM,1/26/2025,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,32,1/26/2025,8:30:00 PM,10:00 PM,NJIT,Yeshiva,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",G32 - Yeshiva @ NJIT
G33 - Sacred Heart @ STAC,2/1/2025,8:10:00 PM,2/1/2025,9:40:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,33,2/1/2025,8:10:00 PM,9:40 PM,STAC,Sacred Heart,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G33 - Sacred Heart @ STAC
G34 - Yeshiva @ Maritime,2/1/2025,10:00:00 PM,2/1/2025,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,34,2/1/2025,10:00:00 PM,11:30 PM,Maritime,Yeshiva,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G34 - Yeshiva @ Maritime
G35 - WestConn @ Sacred Heart,2/2/2025,3:15:00 PM,2/2/2025,4:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,35,2/2/2025,3:15:00 PM,4:45 PM,Sacred Heart,WestConn,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",G35 - WestConn @ Sacred Heart
G36 - Maritime @ STAC,2/2/2025,3:25:00 PM,2/2/2025,4:55:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,36,2/2/2025,3:25:00 PM,4:55 PM,STAC,Maritime,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G36 - Maritime @ STAC
G37 - Sacred Heart @ NJIT,2/7/2025,8:30:00 PM,2/7/2025,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,37,2/7/2025,8:30:00 PM,10:00 PM,NJIT,Sacred Heart,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",G37 - Sacred Heart @ NJIT
G38 - STAC @ USMMA,2/7/2025,10:30:00 PM,2/7/2025,11:59:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,38,2/7/2025,10:30:00 PM,12:00 AM,USMMA,STAC,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",G38 - STAC @ USMMA
G39 - Maritime @ USMMA,2/8/2025,10:15:00 PM,2/8/2025,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,39,2/8/2025,10:15:00 PM,11:45 PM,USMMA,Maritime,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",G39 - Maritime @ USMMA
G40 - STAC @ NJIT,2/15/2025,8:30:00 PM,2/15/2025,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,40,2/15/2025,8:30:00 PM,10:00 PM,NJIT,STAC,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",G40 - STAC @ NJIT
G41 - Sacred Heart @ Maritime,2/15/2025,10:00:00 PM,2/15/2025,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,41,2/15/2025,10:00:00 PM,11:30 PM,Maritime,Sacred Heart,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G41 - Sacred Heart @ Maritime
G42 - Maritime @ Yeshiva,2/16/2025,3:45:00 PM,2/16/2025,5:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,42,2/16/2025,3:45:00 PM,5:15 PM,Yeshiva,Maritime,"Mackay Park, Englewood, NJ 07631",G42 - Maritime @ Yeshiva
S1 - MCHC Semi-Finals Game 1,2/22/2025,6:00:00 PM,2/22/2025,7:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,2/22/2025,6:00:00 PM,7:30 PM,TBA,TBA (2),"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",S1 - TBD
S2 - MCHC Semi-Finals Game 2,2/22/2025,8:30:00 PM,2/22/2025,10:00:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,2/22/2025,8:30:00 PM,10:00 PM,TBA,TBA (2),"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",S2 - TBD
CH - MCHC Championship Game,2/23/2025,3:00:00 PM,2/23/2025,4:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,2/23/2025,3:00:00 PM,4:30 PM,TBA,TBA (2),"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",CH - TBD
ASG - MCHC All Star Game,3/2/2025,5:00:00 PM,3/2/2025,6:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,3/2/2025,5:00:00 PM,6:30 PM,MCHC All-Stars 1,MCHC All-Stars 2,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",ASG - All Star Game
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
