Game ID#,Game Date,Game Time,Home,Away,Arena,Game Code,League,,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
17,11/4/2023,8:30pm,NJIT,Yale,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",Regular Season,MCHC,,G17 - Yale @ NJIT,11/4/2023,8:30 PM,11/4/2023,10:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
18,11/5/2023,5:45pm,Sacred Heart,Maritime,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",Regular Season,MCHC,,G18 - Maritime @ Sacred Heart,11/5/2023,5:45 PM,11/5/2023,7:15 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
19,11/5/2023,6:45pm,WestConn,STAC,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",Regular Season,MCHC,,G19 - STAC @ WestConn,11/5/2023,6:45 PM,11/5/2023,8:15 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
20,11/10/2023,8:00pm,STAC,USMMA,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",Regular Season,MCHC,,G20 - USMMA @ STAC,11/10/2023,8:00 PM,11/10/2023,9:30 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
21,11/10/2023,8:30pm,NJIT,WestConn,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",Regular Season,MCHC,,G21 - WestConn @ NJIT,11/10/2023,8:30 PM,11/10/2023,10:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
22,11/11/2023,10:00pm,Maritime,NJIT,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA",Regular Season,MCHC,,G22 - NJIT @ Maritime,11/11/2023,10:00 PM,11/11/2023,11:30 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
23,11/12/2023,3:00pm,Sacred Heart,Yale,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",Regular Season,MCHC,,G23 - Yale @ Sacred Heart,11/12/2023,3:00 PM,11/12/2023,4:30 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
24,11/17/2023,10:00pm,Maritime,STAC,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA",Regular Season,MCHC,,G24 - STAC @ Maritime,11/17/2023,10:00 PM,11/17/2023,11:30 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
25,11/17/2023,8:45pm,Sacred Heart,NJIT,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",Regular Season,MCHC,,G25 - NJIT @ Sacred Heart,11/17/2023,8:45 PM,11/17/2023,10:15 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
26,11/18/2023,10:00pm,Maritime,USMMA,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA",Regular Season,MCHC,,G26 - USMMA @ Maritime,11/18/2023,10:00 PM,11/18/2023,11:30 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
27,11/18/2023,11:15am,WestConn,NJIT,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",Regular Season,MCHC,,G27 - NJIT @ WestConn,11/18/2023,11:15 AM,11/18/2023,12:45 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
28,11/18/2023,7:15pm,Sacred Heart,Stevens,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",Regular Season,MCHC,,G28 - Stevens @ Sacred Heart,11/18/2023,7:15 PM,11/18/2023,8:45 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
29,12/1/2023,9:00pm,Yale,Stevens,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511",Regular Season,MCHC,,G29 - Stevens @ Yale,12/1/2023,9:00 PM,12/1/2023,10:30 PM,FALSE,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511"
30,12/2/2023,10:00pm,USMMA,Yale,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",Regular Season,MCHC,,G30 - Yale @ USMMA,12/2/2023,10:00 PM,12/2/2023,11:30 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
31,12/2/2023,8:30pm,NJIT,Maritime,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",Regular Season,MCHC,,G31 - Maritime @ NJIT,12/2/2023,8:30 PM,12/2/2023,10:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
32,12/3/2023,3:00pm,Sacred Heart,STAC,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",Regular Season,MCHC,,G32 - STAC @ Sacred Heart,12/3/2023,3:00 PM,12/3/2023,4:30 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
